DATE,AAA
1984-01-01,12.20
1984-02-01,12.08
1984-03-01,12.57
1984-04-01,12.81
1984-05-01,13.28
1984-06-01,13.55
1984-07-01,13.44
1984-08-01,12.87
1984-09-01,12.66
1984-10-01,12.63
1984-11-01,12.29
1984-12-01,12.13
1985-01-01,12.08
1985-02-01,12.13
1985-03-01,12.56
1985-04-01,12.23
1985-05-01,11.72
1985-06-01,10.94
1985-07-01,10.97
1985-08-01,11.05
1985-09-01,11.07
1985-10-01,11.02
1985-11-01,10.55
1985-12-01,10.16
1986-01-01,10.05
1986-02-01,9.67
1986-03-01,9.00
1986-04-01,8.79
1986-05-01,9.09
1986-06-01,9.13
1986-07-01,8.88
1986-08-01,8.72
1986-09-01,8.89
1986-10-01,8.86
1986-11-01,8.68
1986-12-01,8.49
1987-01-01,8.36
1987-02-01,8.38
1987-03-01,8.36
1987-04-01,8.85
1987-05-01,9.33
1987-06-01,9.32
1987-07-01,9.42
1987-08-01,9.67
1987-09-01,10.18
1987-10-01,10.52
1987-11-01,10.01
1987-12-01,10.11
1988-01-01,9.88
1988-02-01,9.40
1988-03-01,9.39
1988-04-01,9.67
1988-05-01,9.90
1988-06-01,9.86
1988-07-01,9.96
1988-08-01,10.11
1988-09-01,9.82
1988-10-01,9.51
1988-11-01,9.45
1988-12-01,9.57
1989-01-01,9.62
1989-02-01,9.64
1989-03-01,9.80
1989-04-01,9.79
1989-05-01,9.57
1989-06-01,9.10
1989-07-01,8.93
1989-08-01,8.96
1989-09-01,9.01
1989-10-01,8.92
1989-11-01,8.89
1989-12-01,8.86
1990-01-01,8.99
1990-02-01,9.22
1990-03-01,9.37
1990-04-01,9.46
1990-05-01,9.47
1990-06-01,9.26
1990-07-01,9.24
1990-08-01,9.41
1990-09-01,9.56
1990-10-01,9.53
1990-11-01,9.30
1990-12-01,9.05
1991-01-01,9.04
1991-02-01,8.83
1991-03-01,8.93
1991-04-01,8.86
1991-05-01,8.86
1991-06-01,9.01
1991-07-01,9.00
1991-08-01,8.75
1991-09-01,8.61
1991-10-01,8.55
1991-11-01,8.48
1991-12-01,8.31
1992-01-01,8.20
1992-02-01,8.29
1992-03-01,8.35
1992-04-01,8.33
1992-05-01,8.28
1992-06-01,8.22
1992-07-01,8.07
1992-08-01,7.95
1992-09-01,7.92
1992-10-01,7.99
1992-11-01,8.10
1992-12-01,7.98
1993-01-01,7.91
1993-02-01,7.71
1993-03-01,7.58
1993-04-01,7.46
1993-05-01,7.43
1993-06-01,7.33
1993-07-01,7.17
1993-08-01,6.85
1993-09-01,6.66
1993-10-01,6.67
1993-11-01,6.93
1993-12-01,6.93
1994-01-01,6.92
