DATE,BAA10YM
1953-04-01,0.82
1953-05-01,0.73
1953-06-01,0.75
1953-07-01,0.93
1953-08-01,0.90
1953-09-01,1.01
1953-10-01,1.16
1953-11-01,1.07
1953-12-01,1.15
1954-01-01,1.23
1954-02-01,1.14
1954-03-01,1.14
1954-04-01,1.18
1954-05-01,1.10
1954-06-01,1.11
1954-07-01,1.20
1954-08-01,1.13
1954-09-01,1.09
1954-10-01,1.03
1954-11-01,0.97
1954-12-01,0.94
1955-01-01,0.84
1955-02-01,0.82
1955-03-01,0.80
1955-04-01,0.74
1955-05-01,0.74
1955-06-01,0.73
1955-07-01,0.62
1955-08-01,0.59
1955-09-01,0.62
1955-10-01,0.71
1955-11-01,0.69
1955-12-01,0.66
1956-01-01,0.70
1956-02-01,0.74
1956-03-01,0.64
1956-04-01,0.50
1956-05-01,0.66
1956-06-01,0.76
1956-07-01,0.69
1956-08-01,0.60
1956-09-01,0.69
1956-10-01,0.83
1956-11-01,0.75
1956-12-01,0.78
1957-01-01,1.03
1957-02-01,1.13
1957-03-01,1.02
1957-04-01,0.96
1957-05-01,0.92
1957-06-01,0.83
1957-07-01,0.80
1957-08-01,0.89
1957-09-01,1.01
1957-10-01,1.02
1957-11-01,1.37
1957-12-01,1.82
1958-01-01,1.74
1958-02-01,1.61
1958-03-01,1.70
1958-04-01,1.79
1958-05-01,1.70
1958-06-01,1.58
1958-07-01,1.33
1958-08-01,1.13
1958-09-01,1.11
1958-10-01,1.12
1958-11-01,1.13
1958-12-01,0.99
1959-01-01,0.85
1959-02-01,0.93
1959-03-01,0.86
1959-04-01,0.74
1959-05-01,0.65
1959-06-01,0.70
1959-07-01,0.68
1959-08-01,0.66
1959-09-01,0.50
1959-10-01,0.75
1959-11-01,0.73
1959-12-01,0.59
1960-01-01,0.62
1960-02-01,0.85
1960-03-01,1.00
1960-04-01,0.92
1960-05-01,0.93
1960-06-01,1.11
1960-07-01,1.32
1960-08-01,1.28
1960-09-01,1.21
1960-10-01,1.22
1960-11-01,1.15
1960-12-01,1.26
1961-01-01,1.26
1961-02-01,1.29
1961-03-01,1.28
1961-04-01,1.23
1961-05-01,1.30
1961-06-01,1.15
1961-07-01,1.17
1961-08-01,1.07
1961-09-01,1.14
1961-10-01,1.21
1961-11-01,1.17
1961-12-01,1.04
1962-01-01,1.00
1962-02-01,1.03
1962-03-01,1.11
1962-04-01,1.18
1962-05-01,1.13
1962-06-01,1.11
1962-07-01,1.04
1962-08-01,1.08
1962-09-01,1.05
1962-10-01,1.06
1962-11-01,1.04
1962-12-01,1.06
1963-01-01,1.08
1963-02-01,0.97
1963-03-01,0.95
1963-04-01,0.90
1963-05-01,0.92
1963-06-01,0.85
1963-07-01,0.82
1963-08-01,0.83
1963-09-01,0.76
1963-10-01,0.72
1963-11-01,0.72
1963-12-01,0.72
1964-01-01,0.66
1964-02-01,0.68
1964-03-01,0.61
1964-04-01,0.62
1964-05-01,0.65
1964-06-01,0.68
1964-07-01,0.64
1964-08-01,0.63
1964-09-01,0.62
1964-10-01,0.62
1964-11-01,0.66
1964-12-01,0.63
1965-01-01,0.61
1965-02-01,0.57
1965-03-01,0.57
1965-04-01,0.60
1965-05-01,0.60
1965-06-01,0.64
1965-07-01,0.68
1965-08-01,0.63
1965-09-01,0.62
1965-10-01,0.58
1965-11-01,0.50
1965-12-01,0.40
1966-01-01,0.45
1966-02-01,0.29
1966-03-01,0.45
1966-04-01,0.66
1966-05-01,0.70
1966-06-01,0.77
1966-07-01,0.66
1966-08-01,0.61
1966-09-01,0.91
1966-10-01,1.09
1966-11-01,0.97
1966-12-01,1.34
1967-01-01,1.39
1967-02-01,1.19
1967-03-01,1.31
1967-04-01,1.24
1967-05-01,1.11
1967-06-01,1.13
1967-07-01,1.10
1967-08-01,1.05
1967-09-01,1.10
1967-10-01,1.04
1967-11-01,0.97
1967-12-01,1.23
1968-01-01,1.31
1968-02-01,1.24
1968-03-01,1.11
1968-04-01,1.33
1968-05-01,1.16
1968-06-01,1.35
1968-07-01,1.48
1968-08-01,1.40
1968-09-01,1.33
1968-10-01,1.26
1968-11-01,1.31
1968-12-01,1.20
1969-01-01,1.28
1969-02-01,1.11
1969-03-01,1.21
1969-04-01,1.37
1969-05-01,1.20
1969-06-01,1.13
1969-07-01,1.12
1969-08-01,1.17
1969-09-01,0.89
1969-10-01,1.12
1969-11-01,1.11
1969-12-01,1.00
1970-01-01,1.07
1970-02-01,1.54
1970-03-01,1.56
1970-04-01,1.31
1970-05-01,1.07
1970-06-01,1.41
1970-07-01,1.94
1970-08-01,1.91
1970-09-01,2.00
1970-10-01,2.00
1970-11-01,2.54
1970-12-01,2.73
1971-01-01,2.50
1971-02-01,2.28
1971-03-01,2.76
1971-04-01,2.62
1971-05-01,2.23
1971-06-01,2.23
1971-07-01,2.03
1971-08-01,2.18
1971-09-01,2.45
1971-10-01,2.55
1971-11-01,2.57
1971-12-01,2.45
1972-01-01,2.28
1972-02-01,2.15
1972-03-01,2.17
1972-04-01,2.05
1972-05-01,2.10
1972-06-01,2.09
1972-07-01,2.12
1972-08-01,1.98
1972-09-01,1.54
1972-10-01,1.58
1972-11-01,1.71
1972-12-01,1.57
1973-01-01,1.44
1973-02-01,1.33
1973-03-01,1.32
1973-04-01,1.42
1973-05-01,1.21
1973-06-01,1.23
1973-07-01,1.11
1973-08-01,1.13
1973-09-01,1.54
1973-10-01,1.62
1973-11-01,1.69
1973-12-01,1.74
1974-01-01,1.49
1974-02-01,1.57
1974-03-01,1.41
1974-04-01,1.36
1974-05-01,1.47
1974-06-01,1.73
1974-07-01,1.67
1974-08-01,1.73
1974-09-01,2.14
1974-10-01,2.58
1974-11-01,2.92
1974-12-01,3.20
1975-01-01,3.31
1975-02-01,3.26
1975-03-01,2.75
1975-04-01,2.35
1975-05-01,2.63
1975-06-01,2.76
1975-07-01,2.49
1975-08-01,2.19
1975-09-01,2.18
1975-10-01,2.48
1975-11-01,2.51
1975-12-01,2.56
1976-01-01,2.67
1976-02-01,2.45
1976-03-01,2.39
1976-04-01,2.38
1976-05-01,1.96
1976-06-01,2.03
1976-07-01,1.99
1976-08-01,1.87
1976-09-01,1.81
1976-10-01,1.88
1976-11-01,1.94
1976-12-01,2.25
1977-01-01,1.87
1977-02-01,1.73
1977-03-01,1.66
1977-04-01,1.70
1977-05-01,1.55
1977-06-01,1.63
1977-07-01,1.54
1977-08-01,1.42
1977-09-01,1.46
1977-10-01,1.37
1977-11-01,1.37
1977-12-01,1.30
1978-01-01,1.21
1978-02-01,1.17
1978-03-01,1.18
1978-04-01,1.17
1978-05-01,1.14
1978-06-01,1.14
1978-07-01,0.96
1978-08-01,1.07
1978-09-01,1.00
1978-10-01,0.95
1978-11-01,1.02
1978-12-01,0.93
1979-01-01,1.03
1979-02-01,0.98
1979-03-01,1.14
1979-04-01,1.15
1979-05-01,1.22
1979-06-01,1.47
1979-07-01,1.34
1979-08-01,1.32
1979-09-01,1.21
1979-10-01,1.10
1979-11-01,1.34
1979-12-01,1.67
1980-01-01,1.62
1980-02-01,1.16
1980-03-01,1.70
1980-04-01,2.72
1980-05-01,2.99
1980-06-01,2.93
1980-07-01,2.40
1980-08-01,2.05
1980-09-01,2.19
1980-10-01,2.48
1980-11-01,1.96
1980-12-01,2.30
1981-01-01,2.46
1981-02-01,2.18
1981-03-01,2.22
1981-04-01,1.88
1981-05-01,1.85
1981-06-01,2.33
1981-07-01,1.89
1981-08-01,1.40
1981-09-01,1.60
1981-10-01,1.96
1981-11-01,3.00
1981-12-01,2.83
1982-01-01,2.51
1982-02-01,2.75
1982-03-01,2.96
1982-04-01,2.91
1982-05-01,3.02
1982-06-01,2.62
1982-07-01,2.85
1982-08-01,3.26
1982-09-01,3.29
1982-10-01,3.82
1982-11-01,3.75
1982-12-01,3.60
1983-01-01,3.48
1983-02-01,3.23
1983-03-01,3.10
1983-04-01,2.89
1983-05-01,2.71
1983-06-01,2.52
1983-07-01,2.01
1983-08-01,1.79
1983-09-01,1.90
1983-10-01,1.92
1983-11-01,1.92
1983-12-01,1.92
1984-01-01,1.98
1984-02-01,1.75
1984-03-01,1.67
1984-04-01,1.68
1984-05-01,1.33
1984-06-01,1.49
1984-07-01,1.79
1984-08-01,1.91
1984-09-01,1.83
1984-10-01,1.78
1984-11-01,1.91
1984-12-01,1.90
1985-01-01,1.88
1985-02-01,1.72
1985-03-01,1.83
1985-04-01,2.08
1985-05-01,2.30
1985-06-01,2.24
1985-07-01,2.12
1985-08-01,2.17
1985-09-01,2.11
1985-10-01,2.12
1985-11-01,2.21
1985-12-01,2.32
1986-01-01,2.25
1986-02-01,2.41
1986-03-01,2.72
1986-04-01,2.89
1986-05-01,2.58
1986-06-01,2.54
1986-07-01,2.86
1986-08-01,3.01
1986-09-01,2.75
1986-10-01,2.81
1986-11-01,2.82
1986-12-01,2.86
1987-01-01,2.64
1987-02-01,2.40
1987-03-01,2.36
1987-04-01,2.02
1987-05-01,1.90
1987-06-01,2.12
1987-07-01,2.16
1987-08-01,2.04
1987-09-01,1.89
1987-10-01,2.10
1987-11-01,2.37
1987-12-01,2.30
1988-01-01,2.40
1988-02-01,2.41
1988-03-01,2.20
1988-04-01,2.18
1988-05-01,1.95
1988-06-01,2.08
1988-07-01,2.05
1988-08-01,1.95
1988-09-01,1.92
1988-10-01,1.61
1988-11-01,1.52
1988-12-01,1.54
1989-01-01,1.56
1989-02-01,1.44
1989-03-01,1.31
1989-04-01,1.43
1989-05-01,1.60
1989-06-01,1.75
1989-07-01,1.85
1989-08-01,1.77
1989-09-01,1.72
1989-10-01,1.80
1989-11-01,1.94
1989-12-01,1.98
1990-01-01,1.73
1990-02-01,1.67
1990-03-01,1.62
1990-04-01,1.51
1990-05-01,1.65
1990-06-01,1.74
1990-07-01,1.73
1990-08-01,1.66
1990-09-01,1.75
1990-10-01,2.02
1990-11-01,2.23
1990-12-01,2.35
1991-01-01,2.36
1991-02-01,2.22
1991-03-01,1.98
1991-04-01,1.90
1991-05-01,1.79
1991-06-01,1.68
1991-07-01,1.62
1991-08-01,1.75
1991-09-01,1.86
1991-10-01,1.96
1991-11-01,2.03
1991-12-01,2.17
1992-01-01,2.10
1992-02-01,1.89
1992-03-01,1.71
1992-04-01,1.73
1992-05-01,1.74
1992-06-01,1.79
1992-07-01,2.00
1992-08-01,2.06
1992-09-01,2.20
1992-10-01,2.25
1992-11-01,2.09
1992-12-01,2.04
1993-01-01,2.07
1993-02-01,2.13
1993-03-01,2.17
1993-04-01,2.17
1993-05-01,2.17
1993-06-01,2.11
1993-07-01,2.12
1993-08-01,1.92
1993-09-01,1.98
1993-10-01,1.98
1993-11-01,1.94
1993-12-01,1.92
1994-01-01,1.90
1994-02-01,1.79
1994-03-01,1.65
1994-04-01,1.55
1994-05-01,1.44
1994-06-01,1.55
1994-07-01,1.50
1994-08-01,1.50
