DATE,IC4WSA
1967-02-01,219000.000000000000
1967-03-01,257062.500000000000
1967-04-01,258900.000000000000
1967-05-01,246937.500000000000
1967-06-01,234187.500000000000
1967-07-01,227400.000000000000
1967-08-01,217562.500000000000
1967-09-01,217450.000000000000
1967-10-01,215312.500000000000
1967-11-01,211875.000000000000
1967-12-01,205850.000000000000
1968-01-01,217750.000000000000
1968-02-01,215562.500000000000
1968-03-01,195950.000000000000
1968-04-01,191250.000000000000
1968-05-01,206250.000000000000
1968-06-01,194600.000000000000
1968-07-01,195812.500000000000
1968-08-01,200350.000000000000
1968-09-01,190875.000000000000
1968-10-01,187875.000000000000
1968-11-01,185300.000000000000
1968-12-01,188750.000000000000
1969-01-01,197375.000000000000
1969-02-01,195812.500000000000
1969-03-01,191850.000000000000
1969-04-01,184312.500000000000
1969-05-01,180950.000000000000
1969-06-01,187437.500000000000
1969-07-01,207187.500000000000
1969-08-01,199200.000000000000
1969-09-01,195000.000000000000
1969-10-01,197062.500000000000
1969-11-01,203800.000000000000
1969-12-01,212375.000000000000
1970-01-01,239900.000000000000
1970-02-01,256250.000000000000
1970-03-01,262375.000000000000
1970-04-01,295687.500000000000
1970-05-01,325500.000000000000
1970-06-01,298687.500000000000
1970-07-01,288125.000000000000
1970-08-01,282400.000000000000
1970-09-01,309500.000000000000
1970-10-01,331900.000000000000
1970-11-01,326625.000000000000
1970-12-01,312625.000000000000
1971-01-01,301200.000000000000
1971-02-01,290937.500000000000
1971-03-01,288687.500000000000
1971-04-01,291125.000000000000
1971-05-01,289200.000000000000
1971-06-01,296812.500000000000
1971-07-01,289250.000000000000
1971-08-01,322687.500000000000
1971-09-01,323125.000000000000
1971-10-01,302800.000000000000
1971-11-01,290687.500000000000
1971-12-01,280937.500000000000
1972-01-01,269550.000000000000
1972-02-01,265937.500000000000
1972-03-01,260000.000000000000
1972-04-01,263800.000000000000
1972-05-01,265937.500000000000
1972-06-01,268562.500000000000
1972-07-01,300850.000000000000
1972-08-01,257687.500000000000
1972-09-01,257350.000000000000
1972-10-01,254437.500000000000
1972-11-01,249312.500000000000
1972-12-01,245350.000000000000
1973-01-01,233812.500000000000
1973-02-01,224062.500000000000
1973-03-01,224900.000000000000
1973-04-01,234875.000000000000
1973-05-01,240125.000000000000
1973-06-01,238500.000000000000
1973-07-01,240750.000000000000
1973-08-01,253312.500000000000
1973-09-01,249750.000000000000
1973-10-01,243687.500000000000
1973-11-01,251250.000000000000
1973-12-01,267250.000000000000
1974-01-01,303312.500000000000
1974-02-01,317750.000000000000
1974-03-01,309350.000000000000
1974-04-01,303875.000000000000
1974-05-01,292437.500000000000
1974-06-01,301850.000000000000
1974-07-01,311000.000000000000
1974-08-01,331500.000000000000
1974-09-01,352812.500000000000
1974-10-01,381875.000000000000
1974-11-01,433900.000000000000
1974-12-01,508000.000000000000
1975-01-01,522125.000000000000
1975-02-01,552750.000000000000
1975-03-01,543650.000000000000
1975-04-01,536187.500000000000
1975-05-01,508600.000000000000
1975-06-01,499062.500000000000
1975-07-01,452625.000000000000
1975-08-01,452100.000000000000
1975-09-01,447687.500000000000
1975-10-01,430125.000000000000
1975-11-01,408900.000000000000
1975-12-01,379125.000000000000
1976-01-01,376100.000000000000
1976-02-01,353750.000000000000
1976-03-01,353687.500000000000
1976-04-01,370125.000000000000
1976-05-01,382600.000000000000
1976-06-01,394375.000000000000
1976-07-01,391200.000000000000
1976-08-01,388125.000000000000
1976-09-01,401625.000000000000
1976-10-01,408750.000000000000
1976-11-01,397812.500000000000
1976-12-01,386625.000000000000
1977-01-01,384000.000000000000
1977-02-01,458187.500000000000
1977-03-01,372750.000000000000
1977-04-01,363650.000000000000
1977-05-01,377875.000000000000
1977-06-01,367687.500000000000
1977-07-01,360400.000000000000
1977-08-01,367437.500000000000
1977-09-01,366562.500000000000
1977-10-01,362400.000000000000
1977-11-01,355937.500000000000
1977-12-01,358450.000000000000
1978-01-01,351187.500000000000
1978-02-01,370250.000000000000
1978-03-01,366875.000000000000
1978-04-01,332950.000000000000
1978-05-01,325437.500000000000
1978-06-01,322437.500000000000
1978-07-01,344450.000000000000
1978-08-01,351812.500000000000
1978-09-01,328450.000000000000
1978-10-01,327125.000000000000
1978-11-01,322687.500000000000
1978-12-01,352600.000000000000
1979-01-01,359562.500000000000
1979-02-01,353437.500000000000
1979-03-01,359400.000000000000
1979-04-01,406187.500000000000
1979-05-01,361187.500000000000
1979-06-01,353350.000000000000
1979-07-01,373000.000000000000
1979-08-01,392875.000000000000
1979-09-01,385800.000000000000
1979-10-01,397937.500000000000
1979-11-01,405937.500000000000
1979-12-01,422150.000000000000
1980-01-01,420750.000000000000
1980-02-01,417625.000000000000
