DATE,UIGFULL
1995-01-01,3.06809
1995-02-01,3.15191
1995-03-01,3.15871
1995-04-01,3.1419
1995-05-01,3.06835
1995-06-01,2.95345
1995-07-01,2.83641
1995-08-01,2.69355
1995-09-01,2.57915
1995-10-01,2.56243
1995-11-01,2.42848
1995-12-01,2.30697
1996-01-01,2.17844
1996-02-01,2.07068
1996-03-01,2.00643
1996-04-01,1.93399
1996-05-01,1.93462
1996-06-01,1.98386
1996-07-01,1.98636
1996-08-01,2.0101
1996-09-01,2.12509
1996-10-01,2.11672
1996-11-01,2.19928
1996-12-01,2.27737
1997-01-01,2.26108
1997-02-01,2.2183
1997-03-01,2.24819
1997-04-01,2.21688
1997-05-01,2.22508
1997-06-01,2.20625
1997-07-01,2.23681
1997-08-01,2.21888
1997-09-01,2.16697
1997-10-01,2.18754
1997-11-01,2.1306
1997-12-01,2.01737
1998-01-01,2.00038
1998-02-01,2.01797
1998-03-01,1.99963
1998-04-01,2.01229
1998-05-01,1.99702
1998-06-01,1.96014
1998-07-01,1.89552
1998-08-01,1.86245
1998-09-01,1.82366
1998-10-01,1.76491
1998-11-01,1.69291
1998-12-01,1.72441
1999-01-01,1.73539
1999-02-01,1.67201
1999-03-01,1.75946
1999-04-01,1.85587
1999-05-01,1.81671
1999-06-01,1.88377
1999-07-01,1.97205
1999-08-01,2.05036
1999-09-01,2.14195
1999-10-01,2.19793
1999-11-01,2.36448
1999-12-01,2.42416
2000-01-01,2.4799
2000-02-01,2.66346
2000-03-01,2.70357
2000-04-01,2.63082
2000-05-01,2.82081
2000-06-01,2.86741
2000-07-01,2.84565
2000-08-01,2.88182
2000-09-01,2.84021
2000-10-01,2.81955
2000-11-01,2.71535
2000-12-01,2.6992
2001-01-01,2.71228
2001-02-01,2.56396
2001-03-01,2.40765
2001-04-01,2.40757
2001-05-01,2.28693
2001-06-01,2.16186
2001-07-01,2.0321
2001-08-01,1.85892
2001-09-01,1.66348
2001-10-01,1.4387
2001-11-01,1.3506
2001-12-01,1.24118
2002-01-01,1.09149
2002-02-01,1.11613
2002-03-01,1.2312
2002-04-01,1.25458
2002-05-01,1.19307
2002-06-01,1.17545
2002-07-01,1.20948
2002-08-01,1.26974
2002-09-01,1.37353
2002-10-01,1.53386
2002-11-01,1.58886
2002-12-01,1.63237
2003-01-01,1.75574
2003-02-01,1.87591
2003-03-01,1.78372
2003-04-01,1.60718
2003-05-01,1.62577
2003-06-01,1.66917
2003-07-01,1.72298
2003-08-01,1.76553
2003-09-01,1.74656
2003-10-01,1.78354
2003-11-01,1.81194
2003-12-01,1.93305
2004-01-01,1.95933
2004-02-01,1.96897
2004-03-01,2.12131
2004-04-01,2.4169
